timestamp,open,high,low,close,volume
2025-05-05 16:30:00,1807.73,1811.22,1807.25,1809.08,33098.902
2025-05-05 16:45:00,1809.07,1809.77,1805.63,1807.21,21526.986
2025-05-05 17:00:00,1807.21,1809.42,1805.42,1805.61,26085.194
2025-05-05 17:15:00,1805.61,1813.65,1804.39,1811.09,38142.601
2025-05-05 17:30:00,1811.09,1817.03,1811.09,1813.18,49887.586
2025-05-05 17:45:00,1813.18,1815.51,1812.55,1813.86,17671.225
2025-05-05 18:00:00,1813.85,1816.78,1811.23,1816.22,22291.037
2025-05-05 18:15:00,1816.22,1816.74,1814.14,1816.42,14928.89
2025-05-05 18:30:00,1816.42,1828.0,1815.6,1824.98,122011.787
2025-05-05 18:45:00,1824.99,1826.58,1819.81,1821.96,51840.132
2025-05-05 19:00:00,1821.95,1825.77,1820.55,1823.29,28704.487
2025-05-05 19:15:00,1823.29,1825.25,1819.0,1820.3,30811.409
2025-05-05 19:30:00,1820.29,1821.22,1815.04,1817.35,33570.865
2025-05-05 19:45:00,1817.36,1818.63,1812.65,1815.65,29319.93
2025-05-05 20:00:00,1815.64,1815.7,1810.2,1812.54,32461.574
2025-05-05 20:15:00,1812.53,1814.67,1810.82,1812.59,16489.578
2025-05-05 20:30:00,1812.58,1812.58,1797.79,1804.71,104127.191
2025-05-05 20:45:00,1804.71,1809.57,1802.2,1808.19,27002.512
2025-05-05 21:00:00,1808.19,1813.89,1807.58,1813.61,28167.533
2025-05-05 21:15:00,1813.61,1816.46,1812.81,1815.59,27041.154
2025-05-05 21:30:00,1815.6,1815.6,1808.28,1812.46,30303.177
2025-05-05 21:45:00,1812.46,1818.84,1812.36,1815.71,24585.835
2025-05-05 22:00:00,1815.7,1819.79,1815.38,1819.79,26569.293
2025-05-05 22:15:00,1819.79,1822.5,1818.5,1820.26,36249.263
2025-05-05 22:30:00,1820.27,1832.98,1820.27,1829.5,119474.505
2025-05-05 22:45:00,1829.49,1829.5,1823.7,1825.33,45818.868
2025-05-05 23:00:00,1825.33,1828.0,1824.35,1825.51,20191.422
2025-05-05 23:15:00,1825.51,1829.42,1823.62,1824.23,35162.398
2025-05-05 23:30:00,1824.22,1824.76,1820.22,1821.45,31510.496
2025-05-05 23:45:00,1821.44,1821.9,1816.16,1819.43,36925.475
2025-05-06 00:00:00,1819.43,1820.0,1815.06,1815.95,31037.079
2025-05-06 00:15:00,1815.96,1818.18,1811.68,1817.76,43617.305
2025-05-06 00:30:00,1817.77,1818.02,1810.03,1811.18,29205.199
2025-05-06 00:45:00,1811.19,1813.27,1810.01,1813.26,18129.789
2025-05-06 01:00:00,1813.27,1816.37,1809.0,1815.81,37980.195
2025-05-06 01:15:00,1815.81,1820.3,1815.8,1816.32,27802.441
2025-05-06 01:30:00,1816.33,1816.92,1803.53,1805.08,70389.382
