ma_ratio,volatility,rsi,macd,macd_signal,bb_width,ema_ratio_9_21,adx,atr,stoch_k,dist_support,dist_resistance,trend,confidence,sentiment_score,label
1.0096821890166476,0.0036878211519334944,72.68448918229946,10.676817112103436,3.9141118734080864,0.021519547215614967,1.0066730145434766,21.25013070586187,16.800479763856004,89.06983714656805,18.13556286036571,0.01888062122084385,0,0.6142299771308899,0.0,0
1.0136311508042617,0.004850427338535148,75.21266073194849,13.824904338598799,5.89627036644623,0.025508364177817294,1.0084318742378815,23.460750155590862,16.61687406643772,89.53001848788536,18.248753909894745,0.1194119324911553,0,0.6997050642967224,0.0,0
0.9978413676556672,0.0050343382648942595,36.18421052631585,12.83706472605627,17.343972623043555,0.008638310748543977,1.0040273324782447,32.894795312656335,17.712370128662204,19.961612284068455,18.086389552260492,0.0789587137964662,0,0.6096537709236145,0.0,1
0.9966290644428296,0.00502137112154379,38.846028468977536,10.603604272144366,15.995898952863717,0.009000520177884191,1.0027783534654664,30.878776752900794,17.05077226232918,15.205800810406641,17.997808102262695,0.18718418730057745,0,0.48190340399742126,0.0,1
0.9964936130545183,0.0014410913235502847,29.87662554184722,0.899949376319455,5.895386483581436,0.015941424373178695,0.9985410717387773,22.650153151583314,16.230982257440665,39.30730272831225,17.91501218411114,0.28834111627816933,2,0.33565396070480347,0.0,1
0.9993820863330322,0.0018266913589555722,39.71921291178427,1.478925428022194,5.012094272469588,0.015820871529356576,0.9992122992864403,21.796538953584655,16.318054953337747,54.09246855089055,18.274040529503026,0.1503061702857812,0,0.466457724571228,0.0,1
1.0023048386053903,0.002009101644915123,41.54704944178643,1.958762215682782,4.401427861112227,0.015705976500205467,0.9997430919997357,21.073881280300075,16.083193885242206,54.97467734030399,18.295363950426406,0.1763583214553229,2,0.378587007522583,0.0,0
1.0030654389367577,0.0031283988560712587,38.79349299593335,1.2222653603030267,3.0178409484807354,0.01474141170176106,0.999661583067189,18.339841395861697,16.33487134324971,40.14049991831425,17.935328574132406,0.2635193174704007,2,0.44797483086586,0.0,1
1.0003607851265484,0.004668965199228003,53.165450694281105,2.154778951402477,2.5851070399690204,0.01169797364308062,1.0005169459221577,16.278048557676048,16.872916305072735,73.03058387395757,18.21119021823247,0.07351803126450926,0,0.5307876467704773,0.0,1
1.0006990473121995,0.005685511633034416,54.48359906570549,2.189862465742408,2.4854790836332006,0.009232302678224774,1.0006462448755455,13.489751348500281,17.31314979667797,42.928550426345986,18.06376586878574,0.10659947669346923,2,0.6658461689949036,0.0,0
1.0004509783617486,0.005670235815068826,53.89251632345554,1.6867427073816543,2.3257318083828915,0.009218374755401201,1.0003441992474862,12.895168225113993,17.126496239772386,36.45032297754624,18.014108748878822,0.16726867227460268,2,0.7284247875213623,0.0,0
0.9991162655034456,0.004249172341333732,47.84104784104767,1.0807931022936828,1.8944488745475205,0.008063989645685114,1.0000518985140596,11.770795918691347,16.648356451640517,44.66318055982739,18.12010342723777,0.03776837334522231,0,0.8543199896812439,0.0,1
0.9989578706888794,0.0030813122915913558,50.60962791675418,1.4316721496393257,1.8018935295658816,0.0070832215180670855,1.000339796896562,11.31859533271427,16.593473847951884,61.857889880036886,18.34113221396458,0.23227625904838906,0,0.9343485236167908,0.0,1
0.9970031153041072,0.0066549873332518526,49.26951172625914,-1.2635567622014605,-0.2986720565917728,0.0080102906677281,0.9990315384034627,10.839825775767162,16.3888450338186,59.32403687071601,18.15101645692159,0.0,0,0.9358913898468018,0.0,1
0.9987297748916573,0.0014765463473619175,46.41624365482236,-0.5718548000568262,-0.35330860528478353,0.008034490467648744,0.9995539123723699,10.20923001157159,15.841784674260131,65.1936326918514,18.24361565313247,0.11313420424108925,0,0.830689549446106,0.0,1
1.000088784223771,0.0025571786971599346,50.75488454706934,-0.4725230084654868,-0.37715148592092423,0.007952294250033168,0.9996439817247205,9.515294636276424,15.473085768955825,51.81753385602306,18.020468218993464,0.15949891162596602,0,0.9575788378715515,0.0,1
1.0012451185143203,0.0026650029633461013,41.79989685404831,-0.4515362998358796,-0.39202844870391534,0.00792815217564381,0.999674696273611,9.21486512642228,14.952151071173287,49.964362081254215,17.989456480093885,0.19738788416678374,0,0.9504486918449402,0.0,1
1.0029678515909188,0.003120822423664787,53.03613560163907,0.6651750559644825,-0.05531812532817901,0.007763788169533435,1.0004059993203829,9.021622859515443,14.385273117491248,72.11956521739174,18.20802538404984,0.06965135626668995,0,0.9726465940475464,0.0,1
1.0017298730698967,0.00317316207384468,51.24790016798652,0.5613662241048587,0.06801874455842859,0.007723256206782744,1.0003080821702337,8.621116866299657,14.215610751956175,61.521739130434895,18.053442143113287,0.11921261521463293,0,0.9622390866279602,0.0,1
1.0131429417849631,0.010749464138874867,89.66374369950988,21.01605202831479,9.688671916610367,0.05106579884280444,1.0159151955559305,30.93303885445469,21.873114290582954,77.639272633811,0.007687167751746414,22.1668351930366,2,0.8698493838310242,0.0,1
1.0120664846308107,0.004562419618720638,85.6996543336321,27.121421268840322,19.456625761871805,0.05863887918010552,1.0177718806394342,35.07872413973901,20.326170013883267,78.22530329289422,0.2077284422727369,21.922432311214976,2,0.839996874332428,0.0,1
1.0205021985755651,0.013333331554436402,95.5002619172342,57.13658540351048,44.70506848566445,0.08076274871329409,1.030088466989906,60.801446139737166,27.78028536491857,95.48274736040072,18.182697890458687,0.038707180181932546,2,0.9491927623748779,0.0,1
