timestamp,open,high,low,close,volume
2025-04-04 11:00:00,1782.8,1786.96,1757.52,1783.16,484344.673
2025-04-04 12:00:00,1783.15,1802.0,1768.57,1788.1,455901.731
2025-04-04 13:00:00,1788.1,1808.45,1771.23,1801.33,494678.631
2025-04-04 14:00:00,1801.34,1804.92,1775.0,1789.48,420439.963
2025-04-04 15:00:00,1789.47,1820.18,1786.4,1794.47,594940.314
2025-04-04 16:00:00,1794.48,1803.12,1782.15,1796.74,376745.978
2025-04-04 17:00:00,1796.75,1828.71,1787.01,1820.36,443895.631
2025-04-04 18:00:00,1820.37,1822.45,1803.84,1805.54,197139.296
2025-04-04 19:00:00,1805.54,1814.8,1801.04,1809.02,151333.829
2025-04-04 20:00:00,1809.03,1822.19,1806.43,1817.97,100256.679
2025-04-04 21:00:00,1817.98,1827.99,1811.89,1817.36,87731.932
2025-04-04 22:00:00,1817.36,1825.73,1814.89,1818.41,71599.658
2025-04-04 23:00:00,1818.41,1819.21,1808.72,1815.97,79216.621
2025-04-05 00:00:00,1815.97,1824.28,1811.54,1822.0,84212.832
2025-04-05 01:00:00,1821.99,1826.63,1818.01,1818.63,90158.629
2025-04-05 02:00:00,1818.63,1820.62,1812.12,1814.91,70736.599
2025-04-05 03:00:00,1814.92,1815.66,1808.27,1809.01,62766.501
2025-04-05 04:00:00,1809.0,1815.0,1806.21,1807.42,53449.378
2025-04-05 05:00:00,1807.41,1814.7,1806.02,1809.14,48012.099
2025-04-05 06:00:00,1809.13,1813.0,1803.04,1808.66,67119.76
2025-04-05 07:00:00,1808.66,1813.82,1806.22,1812.4,54842.742
2025-04-05 08:00:00,1812.39,1814.46,1809.03,1812.96,43583.332
2025-04-05 09:00:00,1812.96,1821.26,1812.96,1819.87,76792.529
2025-04-05 10:00:00,1819.87,1820.7,1815.25,1817.26,56588.846
2025-04-05 11:00:00,1817.27,1818.5,1805.55,1806.6,116953.463
2025-04-05 12:00:00,1806.6,1807.61,1791.74,1797.03,180824.504
2025-04-05 13:00:00,1797.04,1797.92,1782.18,1786.13,188761.208
2025-04-05 14:00:00,1786.12,1794.18,1785.11,1789.92,171646.725
2025-04-05 15:00:00,1789.92,1789.92,1776.34,1781.1,167150.743
2025-04-05 16:00:00,1781.1,1787.6,1779.33,1783.9,97935.792
2025-04-05 17:00:00,1783.9,1789.26,1781.5,1786.59,46259.259
2025-04-05 18:00:00,1786.58,1793.67,1786.07,1792.3,62061.057
2025-04-05 19:00:00,1792.31,1794.86,1778.66,1781.33,64565.43
2025-04-05 20:00:00,1781.32,1804.5,1761.18,1789.64,347929.555
2025-04-05 21:00:00,1789.63,1794.67,1783.67,1789.61,71859.933
2025-04-05 22:00:00,1789.6,1796.94,1789.18,1796.46,53897.872
2025-04-05 23:00:00,1796.46,1809.3,1795.69,1805.15,80818.327
2025-04-06 00:00:00,1805.14,1813.0,1801.84,1809.59,126213.184
2025-04-06 01:00:00,1809.59,1816.38,1806.31,1809.75,86350.413
2025-04-06 02:00:00,1809.75,1812.79,1803.33,1803.5,65569.741
2025-04-06 03:00:00,1803.5,1809.11,1800.87,1809.11,64273.574
2025-04-06 04:00:00,1809.1,1810.5,1805.0,1808.84,38599.313
2025-04-06 05:00:00,1808.83,1812.6,1805.86,1810.45,52964.903
2025-04-06 06:00:00,1810.45,1811.86,1797.53,1797.7,81678.596
2025-04-06 07:00:00,1797.69,1800.77,1790.08,1796.84,107901.9
2025-04-06 08:00:00,1796.85,1797.28,1782.01,1794.41,166294.996
2025-04-06 09:00:00,1794.41,1795.9,1788.6,1790.14,65427.868
2025-04-06 10:00:00,1790.13,1791.64,1784.1,1789.23,93454.944
2025-04-06 11:00:00,1789.24,1790.48,1782.52,1788.22,73223.061
2025-04-06 12:00:00,1788.22,1791.1,1776.16,1777.19,128924.388
2025-04-06 13:00:00,1777.19,1780.12,1735.01,1747.57,720212.245
2025-04-06 14:00:00,1747.56,1770.0,1743.81,1769.04,340750.355
2025-04-06 15:00:00,1769.03,1772.95,1757.41,1758.8,155455.049
2025-04-06 16:00:00,1758.8,1759.21,1710.0,1730.25,421217.352
